hard,877,2003,601,2.2,15.7,23.2,,,,,
hard,793,1974,470,2.5,16.8,24.2,,,,,
hard,851,2008,756,6,14.5,21.6,,,,,
hard,770,2007,629,5.4,14.7,21.7,,,,,
hard,931,1964,666,3.7,14.4,21.6,,,,,
hard,493,1964,162,2.2,16.1,24,,,,,
hard,825,1974,388,3.3,17.5,23.5,,,,,
hard,1969,1996,557,4.8,19.8,26,,,,,
hard,1385,1981,320,3,23.6,28.7,,,,,
hard,1027,1967,155,2,23.6,32.1,,,,,
hard,2823,2011,396,3.8,23.3,31.2,,,,,
hard,2905,2012,400,4.2,23.5,31.2,,,,,
hard,2644,2013,368,3.7,23.4,31.2,,,,,
hard,528,2009,410,3.3,14.7,21.2,,,,,
hard,437,2008,277,2.7,14.7,21.2,,,,,
hard,571,2009,381,3.2,14.9,21.1,,,,,
hard,160,2001,42,0.9,14.1,20.2,,,,,
hard,163,2001,56,0.9,14.1,20.2,,,,,
hard,1168,2007,759,5.6,15.9,23.6,,,,,
hard,1035,2005,652,4.7,15.9,23.7,,,,,
hard,530,2016,287,2.9,15.2,21.8,,,,,
hard,522,2010,390,3.5,15,21.2,,,,,
hard,520,2009,391,3.5,15,21.2,,,,,
hard,622,2013,526,5.1,14.8,21.7,,,,,
hard,667,2012,525,5,14.7,21.8,,,,,
hard,297,2019,138,1.5,15.8,15.9,,,,,
hard,439,2021,336,3.2,14.8,21.9,,,,,
hard,501,2019,406,3.5,14.9,21.7,,,,,
hard,494,2018,405,3.6,14.9,21.7,,,,,
hard,399,2007,417,3.9,13.6,18.6,,,,,
hard,685,2008,506,4.4,14.7,21.6,,,,,
hard,698,2010,567,4.8,14.6,21.7,,,,,
hard,697,2012,559,4.8,14.7,21.6,,,,,
paper,663,2016,549,1.9,15.1,22.8,,,,,
paper,336,1996,205,1.4,15.2,23.1,,,,,
paper,726,2001,439,2.7,15.1,23.5,,,,,
paper,324,2009,223,1.6,14,21.4,,,,,
paper,553,2006,561,4.6,13.9,21,,,,,
paper,489,2005,498,3.9,13.9,20.8,,,,,
paper,151,2011,266,2.2,10.5,17.2,,,,,
paper,355,2007,737,3.5,10.5,17.2,,,,,
paper,377,2007,450,2.8,13.8,21.4,,,,,
paper,157,1978,214,1.3,10.7,18,,,,,
paper,137,1970,218,1.3,10.8,18,,,,,
paper,137,1974,218,1.4,10.7,18,,,,,
paper,131,1979,221,1.4,10.8,17.9,,,,,
paper,154,1980,267,1.6,10.8,17.8,,,,,
paper,120,1974,128,1,13.2,19.2,,,,,
paper,261,1962,211,1.1,14,21,,,,,
paper,437,2011,377,2.7,13.1,20.4,,,,,
paper,393,2014,468,2.7,13.9,21.5,,,,,
paper,315,2007,321,2.5,14,21,,,,,
paper,373,2003,339,2.5,13.8,20.3,,,,,
paper,366,2012,498,3.6,12.8,19.7,,,,,
paper,251,2009,233,1.7,13.4,20.4,,,,,
paper,226,2002,306,1.6,12.9,19.7,,,,,
paper,221,2001,271,1.8,13.1,20.2,,,,,
paper,225,2008,244,1.8,13.9,21.2,,,,,
paper,318,2016,337,2.4,13.9,20.8,,,,,
paper,189,2007,355,2.8,10.7,17.5,,,,,
paper,189,2007,356,2.7,10.6,17.5,,,,,
paper,194,2010,355,2.9,10.6,17.5,,,,,
paper,198,2007,371,2.9,10.5,17.5,,,,,
paper,191,2008,356,2.8,10.6,17.5,,,,,
paper,182,2009,352,2.8,10.5,17.5,,,,,
paper,175,2009,346,2.6,10.6,17.5,,,,,
paper,212,2011,416,3.1,10.6,17.5,,,,,
paper,228,2016,352,2,12.2,19.8,,,,,
paper,565,2014,352,2.7,12.3,16.3,,,,,
paper,163,1970,115,0.9,13.1,20.3,,,,,
paper,76,1980,44,0.3,14.1,21.7,,,,,
paper,214,2006,279,2,13.2,19.3,,,,,
paper,234,2007,312,2.1,13.3,19.3,,,,,
paper,263,2008,361,3,13.3,19.3,,,,,
paper,584,2003,870,5.5,13.4,19.3,,,,,
paper,512,2000,734,4.9,13.4,19.3,,,,,
paper,303,1999,435,2.9,13.4,19.3,,,,,
paper,240,1999,341,2.3,13.5,19.3,,,,,
paper,223,1997,312,2.3,13.3,19.3,,,,,
paper,966,2002,766,5.2,15.2,23,,,,,
paper,326,2008,374,2.1,13.4,20,,,,,
paper,430,2011,559,3.6,13.5,20.3,,,,,
paper,277,2004,248,1.8,10.3,15.3,,,,,
paper,230,2002,442,3,10.6,17.5,,,,,
paper,250,2002,490,3.2,10.6,17.5,,,,,
paper,207,2002,398,3,10.6,17.5,,,,,
paper,235,2002,458,2.8,10.6,17.5,,,,,
paper,163,2002,306,2.5,10.6,17.5,,,,,
paper,143,1984,251,1.7,10.6,17.5,,,,,
paper,523,2021,339,1.9,15.5,23.3,,,,,
paper,497,2019,213,1.5,17.8,25.4,,,,,
paper,712,2013,286,1.7,21.4,27.6,,,,,
paper,290,2005,425,3.1,13.3,19.3,,,,,
paper,263,2005,370,3,12.7,17.8,,,,,
paper,282,2007,372,3,12.8,17.8,,,,,
paper,231,2007,340,2.4,13.4,19.3,,,,,
paper,293,2007,421,2.9,13.4,19.3,,,,,
paper,360,2008,548,3.9,13.3,19.4,,,,,
